"NAME","key","value"
"ABBOTT","PCTWHITE",89.5
"ACEVEDO","PCTHISPANIC",93.54
"ACOSTA","PCTHISPANIC",89.48
"ADAMS","PCTWHITE",74.02
"ADKINS","PCTWHITE",87.2
"AGUILAR","PCTHISPANIC",93.32
"AGUIRRE","PCTHISPANIC",92.94
"AHMED","PCTAPI",56.54
"AHMED","PCTBLACK",22.02
"ALEXANDER","PCTWHITE",58.19
"ALEXANDER","PCTBLACK",34.04
"ALFARO","PCTHISPANIC",93.26
"ALI","PCTAPI",42.91
"ALI","PCTBLACK",30.71
"ALLEN","PCTWHITE",67.59
"ALLEN","PCTBLACK",26.17
"ALLISON","PCTWHITE",80.72
"ALVARADO","PCTHISPANIC",94.42
"ALVAREZ","PCTHISPANIC",92.45
"ANDERSEN","PCTWHITE",94
"ANDERSON","PCTWHITE",75.17
"ANDRADE","PCTHISPANIC",78.19
"ANDREWS","PCTWHITE",71.78
"ANDREWS","PCTBLACK",21.58
"ANTHONY","PCTWHITE",59.82
"ANTHONY","PCTBLACK",31.93
"ARCHER","PCTWHITE",79.5
"ARELLANO","PCTHISPANIC",92.12
"ARIAS","PCTHISPANIC",93.07
"ARMSTRONG","PCTWHITE",72.39
"ARMSTRONG","PCTBLACK",21.01
"ARNOLD","PCTWHITE",81.27
"ARROYO","PCTHISPANIC",93.31
"ASHLEY","PCTWHITE",71.84
"ASHLEY","PCTBLACK",20.6
"ATKINS","PCTWHITE",67.62
"ATKINS","PCTBLACK",26.67
"ATKINSON","PCTWHITE",79.31
"AUSTIN","PCTWHITE",67.47
"AUSTIN","PCTBLACK",26.01
"AVALOS","PCTHISPANIC",95.83
"AVERY","PCTWHITE",71.13
"AVERY","PCTBLACK",22.93
"AVILA","PCTHISPANIC",90.96
"AYALA","PCTHISPANIC",94.25
"AYERS","PCTWHITE",82.96
"BAILEY","PCTWHITE",72.45
"BAILEY","PCTBLACK",22
"BAKER","PCTWHITE",79.83
"BALDWIN","PCTWHITE",76.87
"BALL","PCTWHITE",82.32
"BALLARD","PCTWHITE",75.26
"BANKS","PCTBLACK",54.51
"BANKS","PCTWHITE",39.27
"BARAJAS","PCTHISPANIC",96.46
"BARBER","PCTWHITE",75.48
"BARKER","PCTWHITE",86.48
"BARNES","PCTWHITE",64.81
"BARNES","PCTBLACK",29.28
"BARNETT","PCTWHITE",76.44
"BARR","PCTWHITE",82.69
"BARRERA","PCTHISPANIC",93.18
"BARRETT","PCTWHITE",80.7
"BARRON","PCTWHITE",46.37
"BARRON","PCTHISPANIC",42.52
"BARRY","PCTWHITE",84.47
"BARTLETT","PCTWHITE",90.56
"BARTON","PCTWHITE",85.11
"BASS","PCTWHITE",69.18
"BASS","PCTBLACK",24.53
"BATES","PCTWHITE",75.35
"BAUER","PCTWHITE",95.1
"BAUTISTA","PCTHISPANIC",76.8
"BAXTER","PCTWHITE",80.37
"BEAN","PCTWHITE",80.83
"BEARD","PCTWHITE",74.91
"BEASLEY","PCTWHITE",67.02
"BEASLEY","PCTBLACK",27.62
"BECK","PCTWHITE",90.27
"BECKER","PCTWHITE",94.89
"BEIL","PCTWHITE",62.1
"BEIL","PCTBLACK",32.08
"BELL","PCTWHITE",61.11
"BELL","PCTBLACK",32.35
"BELTRAN","PCTHISPANIC",90.85
"BENDER","PCTWHITE",88.49
"BENITEZ","PCTHISPANIC",93.86
"BENJAMIN","PCTWHITE",49.04
"BENJAMIN","PCTBLACK",41.58
"BENNETT","PCTWHITE",76.56
"BENSON","PCTWHITE",77.85
"BENTLEY","PCTWHITE",82.48
"BENTON","PCTWHITE",69
"BENTON","PCTBLACK",24.95
"BERG","PCTWHITE",94.69
"BERGER","PCTWHITE",92.33
"BERNAL","PCTHISPANIC",88.54
"BERNARD","PCTWHITE",62.84
"BERNARD","PCTBLACK",25.83
"BERRY","PCTWHITE",70.66
"BERRY","PCTBLACK",23.11
"BEST","PCTWHITE",71.82
"BEST","PCTBLACK",22.5
"BISHOP","PCTWHITE",84.44
"BLACK","PCTWHITE",74.63
"BLACKBURN","PCTWHITE",87.41
"BLACKWELL","PCTWHITE",65.69
"BLACKWELL","PCTBLACK",28.46
"BLAIR","PCTWHITE",79.4
"BLAKE","PCTWHITE",71.21
"BLAKE","PCTBLACK",22.58
"BLANCHARD","PCTWHITE",84.87
"BLANKENSHIP","PCTWHITE",93.71
"BLEVINS","PCTWHITE",89.47
"BOND","PCTWHITE",75.91
"BONILLA","PCTHISPANIC",93.23
"BOOKER","PCTBLACK",65.22
"BOOKER","PCTWHITE",28.03
"BOONE","PCTWHITE",62.39
"BOONE","PCTBLACK",31.01
"BOOTH","PCTWHITE",83.38
"BOWEN","PCTWHITE",82.08
"BOWERS","PCTWHITE",83.4
"BOWMAN","PCTWHITE",80.82
"BOYD","PCTWHITE",63.18
"BOYD","PCTBLACK",30.77
"BOYER","PCTWHITE",88.78
"BOYLE","PCTWHITE",93.52
"BRADFORD","PCTWHITE",64.77
"BRADFORD","PCTBLACK",29.1
"BRADLEY","PCTWHITE",69.12
"BRADLEY","PCTBLACK",25.09
"BRADSHAW","PCTWHITE",78.07
"BRADY","PCTWHITE",87.28
"BRANCH","PCTWHITE",47.37
"BRANCH","PCTBLACK",45.9
"BRANDT","PCTWHITE",94.13
"BRAVO","PCTHISPANIC",90.6
"BRENNAN","PCTWHITE",94.56
"BREWER","PCTWHITE",81.3
"BRIDGES","PCTWHITE",67.71
"BRIDGES","PCTBLACK",27.05
"BRIGGS","PCTWHITE",75.92
"BROCK","PCTWHITE",83.03
"BROOKS","PCTWHITE",60.22
"BROOKS","PCTBLACK",33.47
"BROWN","PCTWHITE",57.95
"BROWN","PCTBLACK",35.6
"BROWNING","PCTWHITE",87.47
"BRUCE","PCTWHITE",77.35
"BRYAN","PCTWHITE",81.33
"BRYANT","PCTWHITE",58.46
"BRYANT","PCTBLACK",35.58
"BUCHANAN","PCTWHITE",77.4
"BUCK","PCTWHITE",88.1
"BUCKLEY","PCTWHITE",83.18
"BULLOCK","PCTWHITE",61.59
"BULLOCK","PCTBLACK",32.96
"BURCH","PCTWHITE",78.77
"BURGESS","PCTWHITE",75.35
"BURKE","PCTWHITE",85.93
"BURNETT","PCTWHITE",69.91
"BURNETT","PCTBLACK",24.06
"BURNS","PCTWHITE",80.26
"BURTON","PCTWHITE",67.32
"BURTON","PCTBLACK",27.06
"BUSH","PCTWHITE",71.73
"BUSH","PCTBLACK",22.44
"BUTLER","PCTWHITE",62.36
"BUTLER","PCTBLACK",31.54
"BYRD","PCTWHITE",59.01
"BYRD","PCTBLACK",34.59
"CABRERA","PCTHISPANIC",91.02
"CAIN","PCTWHITE",77.21
"CALDERON","PCTHISPANIC",92.55
"CALDWELL","PCTWHITE",68.05
"CALDWELL","PCTBLACK",26.18
"CALHOUN","PCTWHITE",61.69
"CALHOUN","PCTBLACK",32.99
"CALLAHAN","PCTWHITE",89.8
"CAMACHO","PCTHISPANIC",89.56
"CAMERON","PCTWHITE",75.52
"CAMPBELL","PCTWHITE",73.66
"CAMPBELL","PCTBLACK",20.47
"CAMPOS","PCTHISPANIC",90.52
"CANNON","PCTWHITE",69.78
"CANNON","PCTBLACK",24.5
"CANO","PCTHISPANIC",91.27
"CANTRELL","PCTWHITE",89.67
"CANTU","PCTHISPANIC",90.89
"CARDENAS","PCTHISPANIC",93.7
"CAREY","PCTWHITE",80.9
"CARLSON","PCTWHITE",94.83
"CARPENTER","PCTWHITE",86.21
"CARR","PCTWHITE",73.61
"CARR","PCTBLACK",20.82
"CARRILLO","PCTHISPANIC",93.33
"CARROLL","PCTWHITE",82.95
"CARSON","PCTWHITE",72.25
"CARSON","PCTBLACK",21.67
"CARTER","PCTWHITE",58.2
"CARTER","PCTBLACK",35.59
"CASE","PCTWHITE",92.33
"CASEY","PCTWHITE",86.89
"CASTANEDA","PCTHISPANIC",93.42
"CASTILLO","PCTHISPANIC",90.26
"CASTRO","PCTHISPANIC",87.42
"CERVANTES","PCTHISPANIC",95.31
"CHAMBERS","PCTWHITE",65.7
"CHAMBERS","PCTBLACK",28.5
"CHAN","PCTAPI",89.32
"CHANDLER","PCTWHITE",74.49
"CHANG","PCTAPI",88.84
"CHAPMAN","PCTWHITE",79.51
"CHARLES","PCTBLACK",52.96
"CHARLES","PCTWHITE",33.69
"CHASE","PCTWHITE",81.84
"CHAVEZ","PCTHISPANIC",92.96
"CHEN","PCTAPI",96.12
"CHERRY","PCTWHITE",58.97
"CHERRY","PCTBLACK",35.45
"CHOI","PCTAPI",96.09
"CHRISTENSEN","PCTWHITE",94.42
"CHRISTIAN","PCTWHITE",66.41
"CHRISTIAN","PCTBLACK",24.57
"CHUNG","PCTAPI",90.01
"CHURCH","PCTWHITE",89.18
"CISNEROS","PCTHISPANIC",94.73
"CLARK","PCTWHITE",74.65
"CLARKE","PCTWHITE",61.02
"CLARKE","PCTBLACK",32.1
"CLAY","PCTWHITE",52.74
"CLAY","PCTBLACK",40.5
"CLAYTON","PCTWHITE",69.14
"CLAYTON","PCTBLACK",25.47
"CLEMENTS","PCTWHITE",84.86
"CLINE","PCTWHITE",92.86
"COBB","PCTWHITE",69.98
"COBB","PCTBLACK",24.79
"COCHRAN","PCTWHITE",85.29
"COFFEY","PCTWHITE",88.38
"COHEN","PCTWHITE",88.89
"COLE","PCTWHITE",75.33
"COLEMAN","PCTWHITE",49.43
"COLEMAN","PCTBLACK",44.6
"COLLIER","PCTWHITE",66.97
"COLLIER","PCTBLACK",27.39
"COLLINS","PCTWHITE",71.61
"COLLINS","PCTBLACK",22.43
"COLON","PCTHISPANIC",89.75
"COMBS","PCTWHITE",86.08
"COMPTON","PCTWHITE",87.26
"CONLEY","PCTWHITE",79.78
"CONNER","PCTWHITE",78.57
"CONRAD","PCTWHITE",92.02
